gender,age,region,used_products,used_shampoo,usage_trigger,feeling_after_use,desired_compliment,expected_features,usage_occasion,occasion_reason,current_brand,brand_reason,pain_points,purchase_channels,main_channel,Target_Winning_Zone,pain_points_std,brand_reason_std
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,แบบซองครีม (ไม่ต้องผสม บีบแล้วลูบลงผมได้เลย),เคยใช้แชมพูปิดผมขาว,สีผม ไม่เท่ากัน,มั่นใจขึ้น,ไม่สนใจคำชม หรอกค่ะ,"ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า",วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก,ดูแลตัวเอง,จำไม่ได้ค่ะ เพราะเลิกใช้ไปแล้ว,ตอบแล้วนะคะ,ไม่ระบุ,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)","ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)",0,ไม่มีปัญหา / ไม่ระบุ,"เหตุผลอื่น ๆ (เพื่อนแนะนำ, โฆษณา, พรีเซนเตอร์)"
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด),เคยใช้แชมพูปิดผมขาว,ใช้ปิดผมขาวเป็นประจำ,ดูดีขึ้น,เหมือนเดิม,"ปิดผมหงอกเนียนสนิท, ได้สีผมเป็นธรรมชาติ",วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก,ให้รู้สึกมั่นใจ,PureHerb,เป็นสมุนไพร 100 %,อยากให้มียาย้อมแบบนี้มากขึ้น,"ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะอ่อนโยน/ไม่แพ้/กลิ่นดี
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม),เคยใช้แชมพูปิดผมขาว,เห็นผมขาว,มั่นใจขึ้น,ไม่แก่,"รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน",เมื่อเห็นผมขาว,ไม่มี,HerbaSure,ราคา กลิ่น สะดวก,ไม่ที,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)",0,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะใช้ง่าย/สะดวกรวดเร็ว
ชาย,55 ปีขึ้นไป,กทม. & ปริมณฑล,ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด),เคยใช้แชมพูปิดผมขาว,ทำเดือนละ1 ครั้งทุกเดือน,รู้สึกหนุ่มขึ้น,หน้าแลดูเด็กกว่าวัย,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก, หลังตัดผมมาแล้ว 1 สัปดาห์",รู้สึกดีขึ้นมั่นใจมากขึ้น,HerbaSure,ปราศจากสารเคมี,อยากให้ติดเฉพาะส่วนผมจริงๆเพียงส่วนเดียว เพราะทุกครั้งที่ย้อมจะติดผิวหนังไปอีก 2-3 วันกว่าจะจางลง ใครเห็นก็จะรู้ว่าย้อมผมมา,"ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)","ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)",1,มีปัญหาเรื่องสีไม่ติด/หลุดไว,"เหตุผลอื่น ๆ (เพื่อนแนะนำ, โฆษณา, พรีเซนเตอร์)"
หญิง,45–54 ปี,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด)",เคยใช้แชมพูปิดผมขาว,มีผมขาว,มั่นใจขึ้น,หน้าตาสดใส,"ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, สีไม่หลุดง่าย",ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์,โอกาสพิเศษ,เปลี่ยนไปเรื่อยๆ,เห็นโฆษณา,ไม่ระบุ,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)","ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)",0,ไม่มีปัญหา / ไม่ระบุ,"เหตุผลอื่น ๆ (เพื่อนแนะนำ, โฆษณา, พรีเซนเตอร์)"
หญิง,35–44 ปี,ภาคเหนือ,"ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด), แบบซองครีม (ไม่ต้องผสม บีบแล้วลูบลงผมได้เลย)",เคยใช้แชมพูปิดผมขาว,เห็นผมขาว,มั่นใจขึ้น,สวยขึ้นนะ,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, มีเฉดสีให้เลือกเยอะ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ก่อนงานสำคัญ เช่น ประชุมใหญ่บริษัท, พรีเซนต์งาน, ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์, วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก",ทำให้มั่นใจขึ้น,DeeAsh,สีสวย,อยากให้ติดนานๆ,"ร้านค้าทั่วไปใกล้บ้าน (เช่น ร้านโชห่วย, ร้านของชำ), ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะสีติดทน/สีสวย
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด),เคยใช้แชมพูปิดผมขาว,เห็นผมขาว,มั่นใจขึ้น,ดูเด็กขึ้นเยอะ,"ปิดผมหงอกเนียนสนิท, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนงานสำคัญ เช่น ประชุมใหญ่บริษัท, พรีเซนต์งาน, ก่อนเจอเพื่อนเก่า เช่น งานรวมรุ่น, ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์, วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก",เพิ่มความมั่นใจและดูดี,Lyora,ใช้ง่าย กลิ่นไม่ฉุน,เพิ่มเฉดสีมากขึ้น,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons), ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะอ่อนโยน/ไม่แพ้/กลิ่นดี
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด)",เคยใช้แชมพูปิดผมขาว,ปิดผมขาว,รักษาสภาพภายนอก,สวย,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ก่อนงานสำคัญ เช่น ประชุมใหญ่บริษัท, พรีเซนต์งาน, ถ่ายรูปติดบัตร เช่น บัตรประชาชน/ใบขับขี่/พาสปอร์ต, ก่อนเจอเพื่อนเก่า เช่น งานรวมรุ่น",ขี้เกียจทำ,DeeAsh,เคยใช้ ไม่แพ้ ราคา มี ส่วนลด โปรโมชีชั่น,ราคา โปรโมชั่น,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านค้าทั่วไปใกล้บ้าน (เช่น ร้านโชห่วย, ร้านของชำ), ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)","ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะอ่อนโยน/ไม่แพ้/กลิ่นดี
หญิง,45–54 ปี,ภาคเหนือ,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด), แบบซองครีม (ไม่ต้องผสม บีบแล้วลูบลงผมได้เลย)",เคยใช้แชมพูปิดผมขาว,ผมขาวชัดเจน,มั่นใจมากขึ้น หน้าดูเด็กลง,หน้าตาอ่อนกว่าวัย,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน",ถ้าผมหงอกชัดเจนก็จะใช้,บุคลิกภาพ ทำให้มั่นใจเมื่อต้องเจอผุ้คน หน้าตาสดใสดูเด็กลง,HerbaSure,ใช้ง่าย ไม่ฉุน ราคาดี,หลังจากล้างออก ผมจะแข็ง ต้องใ่ช้ครีมนวดมากพอสมควร,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)","ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะใช้ง่าย/สะดวกรวดเร็ว
ชาย,30–34 ปี,ภาคตะวันออก,แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม),เคยใช้แชมพูปิดผมขาว,ผมขาว,มั่นใจขึ้น,หล่อมาก,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ก่อนงานสำคัญ เช่น ประชุมใหญ่บริษัท, พรีเซนต์งาน, ก่อนเจอเพื่อนเก่า เช่น งานรวมรุ่น, ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์",มั่นใจขึ้น,HerbaSure,ใช้ง่าย,ติดผมนานๆ,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)","ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะใช้ง่าย/สะดวกรวดเร็ว
